DateTime,Summary,Temp,Rain,Wind_Speed
2012-11-24 01:00:00,Partly Cloudy,3,0,18
2012-11-24 02:00:00,Partly Cloudy,2,0,9
2012-11-24 03:00:00,Partly Cloudy,0,0,1
2012-11-24 04:00:00,Partly Cloudy,0,0,9
2012-11-24 05:00:00,Partly Cloudy,-1,0,5
2012-11-24 06:00:00,Partly Cloudy,-2,0,0
2012-11-24 07:00:00,Partly Cloudy,-2,0,0
2012-11-24 08:00:00,Mostly Cloudy,-2,0,0
2012-11-24 09:00:00,Mostly Cloudy,-1,0,5
2012-11-24 11:00:00,Mostly Cloudy,2,0,11
2012-11-24 12:00:00,Mostly Cloudy,4,0,11
2012-11-24 13:00:00,Mostly Cloudy,5,0,9
2012-11-24 14:00:00,Mostly Cloudy,6,0,9
2012-11-24 15:00:00,Mostly Cloudy,5,0,9
2012-11-24 16:00:00,Mostly Cloudy,5,0,7
2012-11-24 17:00:00,Mostly Cloudy,5,0,11
2012-11-24 18:00:00,Light Rain,6,1,9
2012-11-24 19:00:00,Light Rain,5,1,9
2012-11-24 20:00:00,Light Rain,5,1,14
2012-11-24 21:00:00,Light Rain,4,1,20
2012-11-24 22:00:00,Light Rain,4,1,18
2012-11-24 23:00:00,Light Rain,4,1,24
2012-11-25 00:00:00,Light Rain,4,1,25
2012-11-25 01:00:00,Light Drizzle,4,0,25
2012-11-25 02:00:00,Light Drizzle,4,0,22
2012-11-25 03:00:00,Mostly Cloudy,4,0,16
2012-11-25 04:00:00,Mostly Cloudy,3,0,18
2012-11-25 05:00:00,Shallow Fog,2,0,25
2012-11-25 06:00:00,Fog,1,0,20
2012-11-25 07:00:00,Fog,1,0,13
2012-11-25 08:00:00,Fog,1,0,13
2012-11-25 09:00:00,Partly Cloudy,1,0,7
2012-11-25 10:00:00,Partly Cloudy,3,0,0
2012-11-25 11:00:00,Clear,6,0,3
2012-11-25 12:00:00,Clear,4,0,5
2012-11-25 13:00:00,Clear,5,0,7
2012-11-25 14:00:00,Clear,4,0,13
2012-11-25 15:00:00,Light Rain,5,1,14
2012-11-25 16:00:00,Light Rain,5,1,14
2012-11-25 17:00:00,Rain,5,1,22
2012-11-25 18:00:00,Light Rain,5,1,22
